time_ms	current_mA	power_mW
0	-0.40	0.00
2	-0.20	0.00
5	-0.10	0.00
7	-0.30	0.00
9	0.00	0.00
12	-0.30	0.00
14	0.00	0.00
16	0.10	0.00
19	-0.10	0.00
21	-0.10	0.00
23	-0.10	0.00
25	-0.10	0.00
28	-0.40	0.00
30	-0.10	0.00
32	-0.40	0.00
35	0.00	0.00
37	0.10	0.00
39	-0.30	0.00
42	-0.40	0.00
44	0.10	0.00
46	-0.30	0.00
48	-0.20	0.00
51	-0.20	0.00
53	-0.40	0.00
55	-0.10	0.00
58	-0.10	0.00
60	-0.30	0.00
62	-0.40	0.00
65	-0.10	0.00
67	0.00	0.00
69	-0.20	0.00
72	-0.20	0.00
74	0.00	0.00
76	-0.40	0.00
78	-0.10	0.00
81	-0.20	0.00
83	-0.30	0.00
85	-0.10	0.00
88	-0.20	0.00
90	-0.10	0.00
92	0.00	0.00
95	-0.10	0.00
97	-0.30	0.00
99	0.00	0.00
102	-0.20	0.00
104	-0.30	0.00
106	-0.30	0.00
108	-0.30	0.00
111	-0.10	0.00
113	-0.40	0.00
115	0.00	0.00
118	-0.10	0.00
120	0.20	0.00
122	-0.10	0.00
125	0.00	0.00
127	-0.30	0.00
129	0.10	0.00
131	-0.30	0.00
134	0.00	0.00
136	-0.10	0.00
138	-0.10	0.00
141	-0.20	0.00
143	0.00	0.00
145	-0.20	0.00
148	0.10	0.00
150	0.00	0.00
152	-0.30	0.00
154	0.10	0.00
157	-0.10	0.00
159	-0.10	0.00
161	-0.10	0.00
164	-0.10	0.00
166	-0.30	0.00
168	-0.40	0.00
171	-0.30	0.00
173	-0.20	0.00
175	-0.10	0.00
178	-0.20	0.00
180	0.30	0.00
182	-0.10	0.00
184	-0.20	0.00
187	0.00	0.00
189	-0.30	0.00
191	-0.10	0.00
194	-0.20	0.00
196	0.10	0.00
198	0.00	0.00
201	-0.20	0.00
203	-0.40	0.00
205	-0.20	0.00
207	-0.20	0.00
210	-0.10	0.00
212	-0.10	0.00
214	0.00	0.00
217	-0.30	0.00
219	-0.30	0.00
221	-0.30	0.00
224	-0.20	0.00
226	-0.20	0.00
228	-0.20	0.00
231	-0.30	0.00
233	-0.20	0.00
235	-0.30	0.00
237	-0.10	0.00
240	-0.20	0.00
242	-0.10	0.00
244	0.00	0.00
247	0.00	0.00
249	-0.20	0.00
251	-0.10	0.00
254	-0.10	0.00
256	-0.10	0.00
258	-0.10	0.00
261	-0.30	0.00
263	-0.10	0.00
265	-0.30	0.00
267	-0.20	0.00
270	0.20	0.00
272	-0.10	0.00
274	-0.20	0.00
277	-0.10	0.00
279	-0.10	0.00
281	-0.10	0.00
284	-0.30	0.00
286	-0.40	0.00
288	0.00	0.00
291	-0.10	0.00
293	0.20	0.00
295	-0.40	0.00
297	0.00	0.00
300	0.10	0.00
302	-0.30	0.00
304	-0.20	0.00
307	-0.10	0.00
309	-0.30	0.00
311	-0.10	0.00
314	-0.10	0.00
316	0.00	0.00
318	0.00	0.00
320	-0.30	0.00
323	-0.30	0.00
325	-0.20	0.00
327	0.00	0.00
330	-0.40	0.00
332	-0.20	0.00
334	-0.40	0.00
337	-0.10	0.00
339	-0.40	0.00
341	0.00	0.00
343	-0.50	0.00
346	-0.30	0.00
348	-0.10	0.00
350	-0.20	0.00
353	-0.10	0.00
355	-0.10	0.00
357	-0.20	0.00
360	-0.10	0.00
362	0.00	0.00
364	-0.20	0.00
367	-0.10	0.00
369	-0.20	0.00
371	0.00	0.00
373	0.10	0.00
376	0.00	0.00
378	-0.20	0.00
380	-0.20	0.00
383	-0.30	0.00
385	-0.10	0.00
387	-0.20	0.00
390	0.10	0.00
392	-0.10	0.00
394	0.00	0.00
396	-0.10	0.00
399	0.00	0.00
401	0.00	0.00
403	-0.40	0.00
406	-0.10	0.00
408	-0.20	0.00
410	-0.10	0.00
